location,Northeast,Northwest,Southeast,Southwest,energyEfficiency,energyEfficiency,price,price,constructionYear,constructionYear,livingSpace,livingSpace,energySources,energySources,photosCount,photosCount,localAmenitiesScore,localAmenitiesScore,localMobilityScore,localMobilityScore,latitudeDistrict,latitudeDistrict,longitudeDistrict,longitudeDistrict,distanceToCenter,distanceToCenter,district,district,rooms,rooms,energyClass,energyClass,elevator,elevator,sauna,sauna,swimmingpool,swimmingpool,kitchenEqipped,kitchenEqipped,cellar,cellar,storageRoom,storageRoom,wheelchairAccessible,wheelchairAccessible,assistedLiving,assistedLiving,parkingSlots,parkingSlots,guestToilet,guestToilet,privateOutdoorSpace,privateOutdoorSpace,chimney,chimney,attics,attics
1,1,0,0,0,1,1,342000.0,342000.0,2023.0,2023.0,63.33,63.33,6.0,6.0,18.0,18.0,6.6,6.6,9.0,9.0,49.4685,49.4685,11.11889,11.11889,3.552939363275519,3.552939363275519,Steinplatte,Steinplatte,2.0,2.0,3,3,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0
1,1,0,0,0,0,0,169000.0,169000.0,1960.0,1960.0,43.0,43.0,1.0,1.0,3.0,3.0,8.8,8.8,9.7,9.7,49.4587,49.4587,11.09995,11.09995,1.833793978860811,1.833793978860811,Gärten b Wöhrd,Gärten b Wöhrd,2.0,2.0,5,5,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
3,0,0,1,0,0,0,130000.0,130000.0,1973.0,1973.0,38.4,38.4,3.0,3.0,5.0,5.0,4.5,4.5,8.9,8.9,49.43287,49.43287,11.12797,11.12797,4.2793539298007595,4.2793539298007595,Gleißhammer,Gleißhammer,1.0,1.0,5,5,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,1,1,1,214100.0,214100.0,1958.0,1958.0,29.86,29.86,2.0,2.0,7.0,7.0,8.8,8.8,9.7,9.7,49.45136,49.45136,11.06303,11.06303,0.9915783203453478,0.9915783203453478,Rosenau,Rosenau,1.0,1.0,2,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,1,0,0,0,165000.0,165000.0,1895.0,1895.0,60.0,60.0,1.0,1.0,11.0,11.0,8.4,8.4,9.7,9.7,49.43972,49.43972,11.08698,11.08698,1.564401679049105,1.564401679049105,Lichtenhof,Lichtenhof,2.0,2.0,5,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
3,0,0,1,0,0,0,159000.0,159000.0,1952.0,1952.0,61.45,61.45,1.0,1.0,12.0,12.0,6.8,6.8,9.6,9.6,49.43317,49.43317,11.08908,11.08908,2.2873256777207516,2.2873256777207516,Hummelstein,Hummelstein,3.0,3.0,7,7,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
4,0,0,0,1,0,0,335000.0,335000.0,1995.0,1995.0,74.5,74.5,1.0,1.0,30.0,30.0,5.6,5.6,8.0,8.0,49.40306,49.40306,11.03293,11.03293,6.305232071925194,6.305232071925194,Eibach,Eibach,2.5,2.5,6,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2,0,1,0,0,1,1,599000.0,599000.0,2021.0,2021.0,95.0,95.0,2.0,2.0,20.0,20.0,8.0,8.0,9.6,9.6,49.46909,49.46909,11.07358,11.07358,1.902614158881705,1.902614158881705,Nordbahnhof,Nordbahnhof,3.0,3.0,3,3,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0
4,0,0,0,1,1,1,214700.0,214700.0,1958.0,1958.0,29.93,29.93,2.0,2.0,7.0,7.0,8.8,8.8,9.7,9.7,49.45136,49.45136,11.06303,11.06303,0.9915783203453478,0.9915783203453478,Rosenau,Rosenau,1.0,1.0,2,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,1,1,1,296000.0,296000.0,1972.0,1972.0,73.66,73.66,2.0,2.0,5.0,5.0,6.4,6.4,8.9,8.9,49.42333,49.42333,11.02481,11.02481,4.930702243085639,4.930702243085639,Neuröthenbach,Neuröthenbach,3.0,3.0,3,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3,0,0,1,0,0,0,129000.0,129000.0,1949.0,1949.0,59.04,59.04,1.0,1.0,4.0,4.0,3.7,3.7,7.1,7.1,49.41416,49.41416,11.10365,11.10365,4.647133359225568,4.647133359225568,Zollhaus,Zollhaus,3.0,3.0,6,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,1,1,1,399000.0,399000.0,2005.0,2005.0,85.0,85.0,2.0,2.0,14.0,14.0,6.2,6.2,9.3,9.3,49.41572,49.41572,11.03733,11.03733,4.946659671548466,4.946659671548466,Röthenbach b Schweinau,Röthenbach b Schweinau,3.5,3.5,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
3,0,0,1,0,0,0,319000.0,319000.0,1967.0,1967.0,87.0,87.0,2.0,2.0,12.0,12.0,4.6,4.6,8.7,8.7,49.41476,49.41476,11.11488,11.11488,4.986186977513444,4.986186977513444,Neuselsbrunn,Neuselsbrunn,4.0,4.0,6,6,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
